연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수,지점번호,관측도시,일평균기온(°C),일합계강수량(mm),일평균풍속(m/s),일평균상대습도(%)
2025,2025-04-20,,2025-04-20,일,주말,4,16,키움,KT,고척,서울_고척,6859,108,서울,16.7,,1.7,70.0
2025,2025-04-20,,2025-04-20,일,주말,4,16,SSG,LG,문학,인천,23000,112,인천,14.2,,2.0,78.6
2025,2025-04-20,,2025-04-20,일,주말,4,16,삼성,롯데,대구,대구,24000,143,대구,15.4,,3.5,71.0
2025,2025-04-20,,2025-04-20,일,주말,4,16,한화,NC,대전,대전,17000,133,대전,17.6,0.9,1.9,78.9
2025,2025-04-22,,2025-04-22,화,평일,4,17,LG,NC,잠실,서울_잠실,12941,108,서울,17.8,34.8,1.5,87.8
2025,2025-04-22,,2025-04-22,화,평일,4,17,키움,두산,고척,서울_고척,6809,108,서울,17.8,34.8,1.5,87.8
2025,2025-04-22,,2025-04-22,화,평일,4,17,KT,SSG,수원,경기_수원,5497,119,수원,17.3,16.4,1.7,91.3
2025,2025-04-23,,2025-04-23,수,평일,4,17,롯데,한화,사직,부산,19376,159,부산,14.2,,2.7,76.1
2025,2025-04-23,,2025-04-23,수,평일,4,17,삼성,KIA,대구,대구,22257,143,대구,14.6,,3.5,73.0
2025,2025-04-23,,2025-04-23,수,평일,4,17,LG,NC,잠실,서울_잠실,17828,108,서울,16.8,,2.5,62.4
2025,2025-04-23,,2025-04-23,수,평일,4,17,키움,두산,고척,서울_고척,6801,108,서울,16.8,,2.5,62.4
2025,2025-04-23,,2025-04-23,수,평일,4,17,KT,SSG,수원,경기_수원,7581,119,수원,15.7,,2.0,66.9
2025,2025-04-24,,2025-04-24,목,평일,4,17,롯데,한화,사직,부산,22669,159,부산,15.5,,3.8,71.9
2025,2025-04-24,,2025-04-24,목,평일,4,17,삼성,KIA,대구,대구,24000,143,대구,18.6,,2.7,48.9
2025,2025-04-24,,2025-04-24,목,평일,4,17,LG,NC,잠실,서울_잠실,19325,108,서울,14.7,,3.1,52.4
2025,2025-04-24,,2025-04-24,목,평일,4,17,키움,두산,고척,서울_고척,7690,108,서울,14.7,,3.1,52.4
2025,2025-04-24,,2025-04-24,목,평일,4,17,KT,SSG,수원,경기_수원,7815,119,수원,13.0,,2.5,62.9
2025,2025-04-25,,2025-04-25,금,평일,4,17,한화,KT,대전,대전,17000,133,대전,12.7,,2.4,33.1
2025,2025-04-25,,2025-04-25,금,평일,4,17,KIA,LG,광주,광주,20500,156,광주,13.5,,2.1,32.8
2025,2025-04-25,,2025-04-25,금,평일,4,17,두산,롯데,잠실,서울_잠실,23750,108,서울,12.5,,3.0,38.4
2025,2025-04-25,,2025-04-25,금,평일,4,17,삼성,NC,대구,대구,24000,143,대구,15.4,,4.2,19.9
2025,2025-04-25,,2025-04-25,금,평일,4,17,SSG,키움,문학,인천,12140,112,인천,12.1,,3.7,45.0
2025,2025-04-26,,2025-04-26,토,주말,4,17,한화,KT,대전,대전,17000,133,대전,14.4,,2.3,37.4
2025,2025-04-26,,2025-04-26,토,주말,4,17,KIA,LG,광주,광주,20500,156,광주,15.1,,1.1,39.6
2025,2025-04-26,,2025-04-26,토,주말,4,17,두산,롯데,잠실,서울_잠실,23750,108,서울,13.8,,2.8,53.1
2025,2025-04-26,,2025-04-26,토,주말,4,17,삼성,NC,대구,대구,24000,143,대구,16.7,,2.4,24.1
2025,2025-04-26,,2025-04-26,토,주말,4,17,SSG,키움,문학,인천,18641,112,인천,12.4,,3.6,63.5
2025,2025-04-27,,2025-04-27,일,주말,4,17,한화,KT,대전,대전,17000,133,대전,17.2,,2.3,26.9
2025,2025-04-27,,2025-04-27,일,주말,4,17,KIA,LG,광주,광주,20500,156,광주,17.7,,0.9,39.0
2025,2025-04-27,,2025-04-27,일,주말,4,17,두산,롯데,잠실,서울_잠실,23750,108,서울,14.9,,2.8,46.4
2025,2025-04-27,,2025-04-27,일,주말,4,17,삼성,NC,대구,대구,24000,143,대구,18.4,,1.5,30.1
2025,2025-04-27,,2025-04-27,일,주말,4,17,SSG,키움,문학,인천,16422,112,인천,13.2,,3.5,56.3
2025,2025-04-29,,2025-04-29,화,평일,4,18,두산,KT,잠실,서울_잠실,14138,108,서울,14.8,,2.3,34.1
2025,2025-04-29,,2025-04-29,화,평일,4,18,한화,LG,대전,대전,17000,133,대전,14.7,,2.0,42.5
2025,2025-04-29,,2025-04-29,화,평일,4,18,키움,롯데,고척,서울_고척,13203,108,서울,14.8,,2.3,34.1
2025,2025-04-29,,2025-04-29,화,평일,4,18,KIA,NC,광주,광주,10575,156,광주,15.1,,1.3,48.0
2025,2025-04-29,,2025-04-29,화,평일,4,18,SSG,삼성,문학,인천,15481,112,인천,13.4,,2.4,47.5
2025,2025-04-30,,2025-04-30,수,평일,4,18,두산,KT,잠실,서울_잠실,17158,108,서울,18.4,,2.6,36.3
2025,2025-04-30,,2025-04-30,수,평일,4,18,한화,LG,대전,대전,17000,133,대전,18.6,,1.6,40.8
2025,2025-04-30,,2025-04-30,수,평일,4,18,키움,롯데,고척,서울_고척,14367,108,서울,18.4,,2.6,36.3
2025,2025-04-30,,2025-04-30,수,평일,4,18,KIA,NC,광주,광주,15139,156,광주,18.2,,1.8,50.0
2025,2025-04-30,,2025-04-30,수,평일,4,18,SSG,삼성,문학,인천,18998,112,인천,17.8,,3.8,35.9
2025,2025-05-01,,2025-05-01,목,평일,5,18,두산,KT,잠실,서울_잠실,19883,108,서울,14.7,21.1,2.2,69.6
2025,2025-05-01,,2025-05-01,목,평일,5,18,키움,롯데,고척,서울_고척,16000,108,서울,14.7,21.1,2.2,69.6
2025,2025-05-01,,2025-05-01,목,평일,5,18,SSG,삼성,문학,인천,22993,112,인천,13.3,20.4,3.6,76.6
