연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수,지점번호,관측도시,일평균기온(°C),일합계강수량(mm),일평균풍속(m/s),일평균상대습도(%)
2024,2024-04-24,,2024-04-24,수,평일,4,17,두산,NC,잠실,서울_잠실,6444,108,서울,13.2,9.0,3.0,80.1
2024,2024-04-24,,2024-04-24,수,평일,4,17,롯데,SSG,사직,부산,8499,159,부산,15.2,,3.0,74.0
2024,2024-04-25,,2024-04-25,목,평일,4,17,KT,한화,수원,경기_수원,11247,119,수원,13.5,,1.5,76.8
2024,2024-04-25,,2024-04-25,목,평일,4,17,키움,KIA,고척,서울_고척,13287,108,서울,14.4,,1.9,75.6
2024,2024-04-25,,2024-04-25,목,평일,4,17,삼성,LG,대구,대구,12012,143,대구,18.5,,2.3,53.9
2024,2024-04-25,,2024-04-25,목,평일,4,17,두산,NC,잠실,서울_잠실,7385,108,서울,14.4,,1.9,75.6
2024,2024-04-25,,2024-04-25,목,평일,4,17,롯데,SSG,사직,부산,10518,159,부산,17.1,,3.6,59.9
2024,2024-04-26,,2024-04-26,금,평일,4,17,LG,KIA,잠실,서울_잠실,23750,108,서울,17.8,,1.9,61.1
2024,2024-04-26,,2024-04-26,금,평일,4,17,SSG,KT,문학,인천,10075,112,인천,15.9,,1.7,74.0
2024,2024-04-26,,2024-04-26,금,평일,4,17,NC,롯데,창원,경남_창원,16573,155,창원,15.9,,1.1,76.3
2024,2024-04-26,,2024-04-26,금,평일,4,17,한화,두산,한밭,기타,12000,133,대전,17.8,,1.3,62.5
2024,2024-04-26,,2024-04-26,금,평일,4,17,키움,삼성,고척,서울_고척,9519,108,서울,17.8,,1.9,61.1
2024,2024-04-27,,2024-04-27,토,주말,4,17,LG,KIA,잠실,서울_잠실,23750,108,서울,18.2,,1.9,56.4
2024,2024-04-27,,2024-04-27,토,주말,4,17,SSG,KT,문학,인천,16957,112,인천,15.3,,2.2,70.1
2024,2024-04-27,,2024-04-27,토,주말,4,17,NC,롯데,창원,경남_창원,17891,155,창원,19.1,,1.4,68.9
2024,2024-04-27,,2024-04-27,토,주말,4,17,한화,두산,한밭,기타,12000,133,대전,18.7,,1.6,49.3
2024,2024-04-27,,2024-04-27,토,주말,4,17,키움,삼성,고척,서울_고척,15073,108,서울,18.2,,1.9,56.4
2024,2024-04-28,,2024-04-28,일,주말,4,17,LG,KIA,잠실,서울_잠실,23750,108,서울,20.7,,1.6,53.5
2024,2024-04-28,,2024-04-28,일,주말,4,17,SSG,KT,문학,인천,13196,112,인천,17.4,,1.9,69.5
2024,2024-04-28,,2024-04-28,일,주말,4,17,NC,롯데,창원,경남_창원,17891,155,창원,18.8,,1.5,69.3
2024,2024-04-28,,2024-04-28,일,주말,4,17,한화,두산,한밭,기타,12000,133,대전,19.9,,1.2,50.0
2024,2024-04-28,,2024-04-28,일,주말,4,17,키움,삼성,고척,서울_고척,13354,108,서울,20.7,,1.6,53.5
2024,2024-04-30,,2024-04-30,화,평일,4,18,KIA,KT,광주,광주,17210,156,광주,16.8,,1.1,87.3
2024,2024-04-30,,2024-04-30,화,평일,4,18,NC,LG,창원,경남_창원,7278,155,창원,17.4,,1.6,80.9
2024,2024-04-30,,2024-04-30,화,평일,4,18,한화,SSG,한밭,기타,12000,133,대전,16.6,,1.7,70.8
2024,2024-04-30,,2024-04-30,화,평일,4,18,두산,삼성,잠실,서울_잠실,20170,108,서울,18.6,,2.2,62.5
2024,2024-04-30,,2024-04-30,화,평일,4,18,롯데,키움,사직,부산,13376,159,부산,16.3,,2.6,82.4
2024,2024-05-01,,2024-05-01,수,평일,5,18,KIA,KT,광주,광주,17402,156,광주,14.8,2.4,0.9,98.8
2024,2024-05-01,,2024-05-01,수,평일,5,18,NC,LG,창원,경남_창원,10397,155,창원,14.8,0.2,2.4,65.8
2024,2024-05-01,,2024-05-01,수,평일,5,18,한화,SSG,한밭,기타,12000,133,대전,16.5,,3.3,50.8
2024,2024-05-01,,2024-05-01,수,평일,5,18,두산,삼성,잠실,서울_잠실,23750,108,서울,18.5,,2.4,46.0
2024,2024-05-01,,2024-05-01,수,평일,5,18,롯데,키움,사직,부산,14791,159,부산,14.1,,3.7,64.3
2024,2024-05-02,,2024-05-02,목,평일,5,18,KIA,KT,광주,광주,16502,156,광주,17.0,,0.8,78.9
2024,2024-05-02,,2024-05-02,목,평일,5,18,NC,LG,창원,경남_창원,6338,155,창원,14.1,,2.0,65.3
2024,2024-05-02,,2024-05-02,목,평일,5,18,한화,SSG,한밭,기타,10890,133,대전,17.0,,2.0,50.5
2024,2024-05-02,,2024-05-02,목,평일,5,18,두산,삼성,잠실,서울_잠실,20395,108,서울,18.1,,2.4,48.4
2024,2024-05-02,,2024-05-02,목,평일,5,18,롯데,키움,사직,부산,12569,159,부산,14.7,,2.5,63.1
2024,2024-05-03,,2024-05-03,금,평일,5,18,KIA,한화,광주,광주,20500,156,광주,19.3,,1.0,58.3
2024,2024-05-03,,2024-05-03,금,평일,5,18,삼성,롯데,대구,대구,24000,143,대구,19.2,,1.5,51.0
2024,2024-05-03,,2024-05-03,금,평일,5,18,SSG,NC,문학,인천,13737,112,인천,17.2,,2.1,58.8
2024,2024-05-03,,2024-05-03,금,평일,5,18,LG,두산,잠실,서울_잠실,23750,108,서울,19.7,,1.9,46.9
2024,2024-05-03,,2024-05-03,금,평일,5,18,KT,키움,수원,경기_수원,8213,119,수원,16.8,,1.5,56.8
2024,2024-05-04,,2024-05-04,토,주말,5,18,KIA,한화,광주,광주,20500,156,광주,20.3,,1.5,71.0
2024,2024-05-04,,2024-05-04,토,주말,5,18,삼성,롯데,대구,대구,24000,143,대구,20.4,,1.7,52.5
2024,2024-05-04,,2024-05-04,토,주말,5,18,SSG,NC,문학,인천,22079,112,인천,18.8,,2.0,51.3
2024,2024-05-04,,2024-05-04,토,주말,5,18,LG,두산,잠실,서울_잠실,23750,108,서울,21.4,,1.9,44.8
2024,2024-05-04,,2024-05-04,토,주말,5,18,KT,키움,수원,경기_수원,14620,119,수원,19.1,,1.6,51.9
2024,2024-05-07,,2024-05-07,화,평일,5,19,키움,두산,고척,서울_고척,7339,108,서울,13.3,2.4,3.0,77.3
2024,2024-05-07,,2024-05-07,화,평일,5,19,LG,SSG,잠실,서울_잠실,13387,108,서울,13.3,2.4,3.0,77.3
