연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수
2024,2024-04-21,,2024-04-21,일,주말,4,16,두산,키움,잠실,서울_잠실,6197
2024,2024-04-23,,2024-04-23,화,평일,4,17,KT,한화,수원,경기_수원,10887
2024,2024-04-23,,2024-04-23,화,평일,4,17,키움,KIA,고척,서울_고척,10205
2024,2024-04-23,,2024-04-23,화,평일,4,17,삼성,LG,대구,대구,7494
2024,2024-04-23,,2024-04-23,화,평일,4,17,두산,NC,잠실,서울_잠실,5664
2024,2024-04-24,,2024-04-24,수,평일,4,17,KT,한화,수원,경기_수원,12538
2024,2024-04-24,,2024-04-24,수,평일,4,17,키움,KIA,고척,서울_고척,11048
2024,2024-04-24,,2024-04-24,수,평일,4,17,삼성,LG,대구,대구,10159
2024,2024-04-24,,2024-04-24,수,평일,4,17,두산,NC,잠실,서울_잠실,6444
2024,2024-04-24,,2024-04-24,수,평일,4,17,롯데,SSG,사직,부산,8499
2024,2024-04-25,,2024-04-25,목,평일,4,17,KT,한화,수원,경기_수원,11247
2024,2024-04-25,,2024-04-25,목,평일,4,17,키움,KIA,고척,서울_고척,13287
2024,2024-04-25,,2024-04-25,목,평일,4,17,삼성,LG,대구,대구,12012
2024,2024-04-25,,2024-04-25,목,평일,4,17,두산,NC,잠실,서울_잠실,7385
2024,2024-04-25,,2024-04-25,목,평일,4,17,롯데,SSG,사직,부산,10518
2024,2024-04-26,,2024-04-26,금,평일,4,17,LG,KIA,잠실,서울_잠실,23750
2024,2024-04-26,,2024-04-26,금,평일,4,17,SSG,KT,문학,인천,10075
2024,2024-04-26,,2024-04-26,금,평일,4,17,NC,롯데,창원,경남_창원,16573
2024,2024-04-26,,2024-04-26,금,평일,4,17,한화,두산,한밭,기타,12000
2024,2024-04-26,,2024-04-26,금,평일,4,17,키움,삼성,고척,서울_고척,9519
2024,2024-04-27,,2024-04-27,토,주말,4,17,LG,KIA,잠실,서울_잠실,23750
2024,2024-04-27,,2024-04-27,토,주말,4,17,SSG,KT,문학,인천,16957
2024,2024-04-27,,2024-04-27,토,주말,4,17,NC,롯데,창원,경남_창원,17891
2024,2024-04-27,,2024-04-27,토,주말,4,17,한화,두산,한밭,기타,12000
2024,2024-04-27,,2024-04-27,토,주말,4,17,키움,삼성,고척,서울_고척,15073
2024,2024-04-28,,2024-04-28,일,주말,4,17,LG,KIA,잠실,서울_잠실,23750
2024,2024-04-28,,2024-04-28,일,주말,4,17,SSG,KT,문학,인천,13196
2024,2024-04-28,,2024-04-28,일,주말,4,17,NC,롯데,창원,경남_창원,17891
2024,2024-04-28,,2024-04-28,일,주말,4,17,한화,두산,한밭,기타,12000
2024,2024-04-28,,2024-04-28,일,주말,4,17,키움,삼성,고척,서울_고척,13354
2024,2024-04-30,,2024-04-30,화,평일,4,18,KIA,KT,광주,광주,17210
2024,2024-04-30,,2024-04-30,화,평일,4,18,NC,LG,창원,경남_창원,7278
2024,2024-04-30,,2024-04-30,화,평일,4,18,한화,SSG,한밭,기타,12000
2024,2024-04-30,,2024-04-30,화,평일,4,18,두산,삼성,잠실,서울_잠실,20170
2024,2024-04-30,,2024-04-30,화,평일,4,18,롯데,키움,사직,부산,13376
2024,2024-05-01,,2024-05-01,수,평일,5,18,KIA,KT,광주,광주,17402
2024,2024-05-01,,2024-05-01,수,평일,5,18,NC,LG,창원,경남_창원,10397
2024,2024-05-01,,2024-05-01,수,평일,5,18,한화,SSG,한밭,기타,12000
2024,2024-05-01,,2024-05-01,수,평일,5,18,두산,삼성,잠실,서울_잠실,23750
2024,2024-05-01,,2024-05-01,수,평일,5,18,롯데,키움,사직,부산,14791
2024,2024-05-02,,2024-05-02,목,평일,5,18,KIA,KT,광주,광주,16502
2024,2024-05-02,,2024-05-02,목,평일,5,18,NC,LG,창원,경남_창원,6338
2024,2024-05-02,,2024-05-02,목,평일,5,18,한화,SSG,한밭,기타,10890
2024,2024-05-02,,2024-05-02,목,평일,5,18,두산,삼성,잠실,서울_잠실,20395
2024,2024-05-02,,2024-05-02,목,평일,5,18,롯데,키움,사직,부산,12569
2024,2024-05-03,,2024-05-03,금,평일,5,18,KIA,한화,광주,광주,20500
2024,2024-05-03,,2024-05-03,금,평일,5,18,삼성,롯데,대구,대구,24000
2024,2024-05-03,,2024-05-03,금,평일,5,18,SSG,NC,문학,인천,13737
2024,2024-05-03,,2024-05-03,금,평일,5,18,LG,두산,잠실,서울_잠실,23750
2024,2024-05-03,,2024-05-03,금,평일,5,18,KT,키움,수원,경기_수원,8213
2024,2024-05-04,,2024-05-04,토,주말,5,18,KIA,한화,광주,광주,20500
2024,2024-05-04,,2024-05-04,토,주말,5,18,삼성,롯데,대구,대구,24000
2024,2024-05-04,,2024-05-04,토,주말,5,18,SSG,NC,문학,인천,22079
2024,2024-05-04,,2024-05-04,토,주말,5,18,LG,두산,잠실,서울_잠실,23750
2024,2024-05-04,,2024-05-04,토,주말,5,18,KT,키움,수원,경기_수원,14620
2024,2024-05-07,,2024-05-07,화,평일,5,19,키움,두산,고척,서울_고척,7339
2024,2024-05-07,,2024-05-07,화,평일,5,19,LG,SSG,잠실,서울_잠실,13387
2024,2024-05-08,,2024-05-08,수,평일,5,19,롯데,한화,사직,부산,11407
2024,2024-05-08,,2024-05-08,수,평일,5,19,삼성,KIA,대구,대구,15421
2024,2024-05-08,,2024-05-08,수,평일,5,19,KT,NC,수원,경기_수원,4480
2024,2024-05-08,,2024-05-08,수,평일,5,19,키움,두산,고척,서울_고척,6405
2024,2024-05-08,,2024-05-08,수,평일,5,19,LG,SSG,잠실,서울_잠실,15699
2024,2024-05-09,,2024-05-09,목,평일,5,19,롯데,한화,사직,부산,12774
2024,2024-05-09,,2024-05-09,목,평일,5,19,삼성,KIA,대구,대구,16769
2024,2024-05-09,,2024-05-09,목,평일,5,19,KT,NC,수원,경기_수원,6369
2024,2024-05-09,,2024-05-09,목,평일,5,19,키움,두산,고척,서울_고척,8658
2024,2024-05-09,,2024-05-09,목,평일,5,19,LG,SSG,잠실,서울_잠실,16823
2024,2024-05-10,,2024-05-10,금,평일,5,19,두산,KT,잠실,서울_잠실,13013
2024,2024-05-10,,2024-05-10,금,평일,5,19,롯데,LG,사직,부산,15731
2024,2024-05-10,,2024-05-10,금,평일,5,19,KIA,SSG,광주,광주,18895
2024,2024-05-10,,2024-05-10,금,평일,5,19,NC,삼성,창원,경남_창원,12438
2024,2024-05-10,,2024-05-10,금,평일,5,19,한화,키움,한밭,기타,12000
2024,2024-05-11,,2024-05-11,토,주말,5,19,롯데,LG,사직,부산,22758
2024,2024-05-11,,2024-05-11,토,주말,5,19,NC,삼성,창원,경남_창원,17891
2024,2024-05-11,,2024-05-11,토,주말,5,19,한화,키움,한밭,기타,12000
2024,2024-05-12,,2024-05-12,일,주말,5,19,두산,KT,잠실,서울_잠실,16308
2024,2024-05-12,,2024-05-12,일,주말,5,19,두산,KT,잠실,서울_잠실,9026
2024,2024-05-12,,2024-05-12,일,주말,5,19,롯데,LG,사직,부산,18914
2024,2024-05-12,,2024-05-12,일,주말,5,19,KIA,SSG,광주,광주,20500
2024,2024-05-12,,2024-05-12,일,주말,5,19,KIA,SSG,광주,광주,12743
2024,2024-05-12,,2024-05-12,일,주말,5,19,NC,삼성,창원,경남_창원,16181
2024,2024-05-12,,2024-05-12,일,주말,5,19,한화,키움,한밭,기타,12000
2024,2024-05-14,,2024-05-14,화,평일,5,20,KT,롯데,수원,경기_수원,10120
2024,2024-05-14,,2024-05-14,화,평일,5,20,한화,NC,한밭,기타,12000
2024,2024-05-14,,2024-05-14,화,평일,5,20,KIA,두산,광주,광주,18675
2024,2024-05-14,,2024-05-14,화,평일,5,20,SSG,삼성,문학,인천,16595
2024,2024-05-14,,2024-05-14,화,평일,5,20,LG,키움,잠실,서울_잠실,18479
2024,2024-05-15,,2024-05-15,수,평일,5,20,한화,NC,한밭,기타,12000
2024,2024-05-15,,2024-05-15,수,평일,5,20,KIA,두산,광주,광주,20500
2024,2024-05-16,,2024-05-16,목,평일,5,20,KT,롯데,수원,경기_수원,8312
2024,2024-05-16,,2024-05-16,목,평일,5,20,한화,NC,한밭,기타,9522
2024,2024-05-16,,2024-05-16,목,평일,5,20,KIA,두산,광주,광주,15996
2024,2024-05-16,,2024-05-16,목,평일,5,20,SSG,삼성,문학,인천,13791
2024,2024-05-16,,2024-05-16,목,평일,5,20,LG,키움,잠실,서울_잠실,15054
2024,2024-05-17,,2024-05-17,금,평일,5,20,삼성,한화,대구,대구,24000
2024,2024-05-17,,2024-05-17,금,평일,5,20,NC,KIA,창원,경남_창원,12280
2024,2024-05-17,,2024-05-17,금,평일,5,20,KT,LG,수원,경기_수원,11374
2024,2024-05-17,,2024-05-17,금,평일,5,20,두산,롯데,잠실,서울_잠실,23750
2024,2024-05-17,,2024-05-17,금,평일,5,20,키움,SSG,고척,서울_고척,9806
2024,2024-05-18,,2024-05-18,토,주말,5,20,삼성,한화,대구,대구,24000
2024,2024-05-18,,2024-05-18,토,주말,5,20,NC,KIA,창원,경남_창원,17891
2024,2024-05-18,,2024-05-18,토,주말,5,20,KT,LG,수원,경기_수원,18700
2024,2024-05-18,,2024-05-18,토,주말,5,20,두산,롯데,잠실,서울_잠실,23750
2024,2024-05-18,,2024-05-18,토,주말,5,20,키움,SSG,고척,서울_고척,12133
2024,2024-05-19,,2024-05-19,일,주말,5,20,삼성,한화,대구,대구,24000
2024,2024-05-19,,2024-05-19,일,주말,5,20,NC,KIA,창원,경남_창원,16253
2024,2024-05-19,,2024-05-19,일,주말,5,20,KT,LG,수원,경기_수원,15912
2024,2024-05-19,,2024-05-19,일,주말,5,20,두산,롯데,잠실,서울_잠실,23750
