연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수
2025,2025-05-04,,2025-05-04,일,주말,5,18,KT,키움,수원,경기_수원,15160
2025,2025-05-05,,2025-05-05,월,평일,5,19,키움,KIA,고척,서울_고척,16000
2025,2025-05-05,,2025-05-05,월,평일,5,19,두산,LG,잠실,서울_잠실,23750
2025,2025-05-05,,2025-05-05,월,평일,5,19,KT,NC,수원,경기_수원,12015
2025,2025-05-05,,2025-05-05,월,평일,5,19,롯데,SSG,사직,부산,22669
2025,2025-05-05,,2025-05-05,월,평일,5,19,한화,삼성,대전,대전,17000
2025,2025-05-06,,2025-05-06,화,평일,5,19,키움,KIA,고척,서울_고척,16000
2025,2025-05-06,,2025-05-06,화,평일,5,19,두산,LG,잠실,서울_잠실,23750
2025,2025-05-06,,2025-05-06,화,평일,5,19,KT,NC,수원,경기_수원,9743
2025,2025-05-06,,2025-05-06,화,평일,5,19,롯데,SSG,사직,부산,22669
2025,2025-05-06,,2025-05-06,화,평일,5,19,한화,삼성,대전,대전,17000
2025,2025-05-07,,2025-05-07,수,평일,5,19,키움,KIA,고척,서울_고척,16000
2025,2025-05-07,,2025-05-07,수,평일,5,19,두산,LG,잠실,서울_잠실,23750
2025,2025-05-07,,2025-05-07,수,평일,5,19,KT,NC,수원,경기_수원,3598
2025,2025-05-07,,2025-05-07,수,평일,5,19,롯데,SSG,사직,부산,22669
2025,2025-05-07,,2025-05-07,수,평일,5,19,한화,삼성,대전,대전,17000
2025,2025-05-09,,2025-05-09,금,평일,5,19,키움,한화,고척,서울_고척,16000
2025,2025-05-10,,2025-05-10,토,주말,5,19,키움,한화,고척,서울_고척,16000
2025,2025-05-10,,2025-05-10,토,주말,5,19,SSG,KIA,문학,인천,23000
2025,2025-05-10,,2025-05-10,토,주말,5,19,삼성,LG,대구,대구,24000
2025,2025-05-10,,2025-05-10,토,주말,5,19,삼성,LG,대구,대구,24000
2025,2025-05-10,,2025-05-10,토,주말,5,19,KT,롯데,수원,경기_수원,18700
